Entity,Code,Day,total_vaccinations
Alaska,,2021-03-27,395650
Alaska,,2021-03-28,401502
Alaska,,2021-03-29,403284
Alaska,,2021-03-30,404339
Alaska,,2021-03-31,407233
Alaska,,2021-04-01,411529
Alaska,,2021-04-02,415690
Alaska,,2021-04-03,420238
Alaska,,2021-04-04,428556
Alaska,,2021-04-05,431436
Alaska,,2021-04-06,432690
Alaska,,2021-04-07,436681
Alaska,,2021-04-08,443287
Alaska,,2021-04-09,448337
Alaska,,2021-04-10,455719
Alaska,,2021-04-11,461286
Alaska,,2021-04-12,465250
Alaska,,2021-04-13,496015
Alaska,,2021-04-14,499742
Alaska,,2021-04-15,499815
Alaska,,2021-04-16,504860
Alaska,,2021-04-17,509843
Alaska,,2021-04-18,515501
Alaska,,2021-04-19,517521
Alaska,,2021-04-20,519030
Alaska,,2021-04-21,524758
Alaska,,2021-04-22,530134
Alaska,,2021-04-23,533546
Alaska,,2021-04-24,536961
Alaska,,2021-04-25,539630
American Samoa,ASM,2021-01-12,2124
American Samoa,ASM,2021-01-13,2577
American Samoa,ASM,2021-01-14,2971
American Samoa,ASM,2021-01-15,3883
American Samoa,ASM,2021-01-19,4756
American Samoa,ASM,2021-01-20,5313
American Samoa,ASM,2021-01-21,5664
American Samoa,ASM,2021-01-22,6569
American Samoa,ASM,2021-01-23,6831
American Samoa,ASM,2021-01-24,8046
American Samoa,ASM,2021-01-25,8046
American Samoa,ASM,2021-01-26,8315
American Samoa,ASM,2021-01-27,9085
American Samoa,ASM,2021-01-28,9085
American Samoa,ASM,2021-01-29,9925
American Samoa,ASM,2021-01-30,9925
American Samoa,ASM,2021-01-31,9925
American Samoa,ASM,2021-02-01,10761
American Samoa,ASM,2021-02-02,10761
American Samoa,ASM,2021-02-03,11066
American Samoa,ASM,2021-02-04,11257
American Samoa,ASM,2021-02-05,12029
American Samoa,ASM,2021-02-06,12259
American Samoa,ASM,2021-02-07,12259
American Samoa,ASM,2021-02-08,12259
American Samoa,ASM,2021-02-09,12680
American Samoa,ASM,2021-02-10,13318
American Samoa,ASM,2021-02-11,13513
American Samoa,ASM,2021-02-12,15032
American Samoa,ASM,2021-02-13,15382
American Samoa,ASM,2021-02-14,15382
American Samoa,ASM,2021-02-16,16109
American Samoa,ASM,2021-02-17,16269
American Samoa,ASM,2021-02-18,16269
American Samoa,ASM,2021-02-19,16269
American Samoa,ASM,2021-02-20,17740
American Samoa,ASM,2021-02-21,18778
American Samoa,ASM,2021-02-22,18816
American Samoa,ASM,2021-02-23,18816
American Samoa,ASM,2021-02-24,19739
American Samoa,ASM,2021-02-25,19739
American Samoa,ASM,2021-02-26,20336
American Samoa,ASM,2021-02-27,20338
American Samoa,ASM,2021-02-28,20338
American Samoa,ASM,2021-03-01,20338
American Samoa,ASM,2021-03-02,21079
American Samoa,ASM,2021-03-03,21079
American Samoa,ASM,2021-03-04,21625
American Samoa,ASM,2021-03-05,21625
American Samoa,ASM,2021-03-06,21625
American Samoa,ASM,2021-03-07,21625
American Samoa,ASM,2021-03-08,21625
American Samoa,ASM,2021-03-09,21625
American Samoa,ASM,2021-03-10,23696
American Samoa,ASM,2021-03-11,23696
American Samoa,ASM,2021-03-12,23696
American Samoa,ASM,2021-03-13,23696
American Samoa,ASM,2021-03-14,23696
American Samoa,ASM,2021-03-15,24300
American Samoa,ASM,2021-03-16,24300
American Samoa,ASM,2021-03-17,24300
American Samoa,ASM,2021-03-18,24300
American Samoa,ASM,2021-03-19,24300
American Samoa,ASM,2021-03-20,24300
American Samoa,ASM,2021-03-21,24300
American Samoa,ASM,2021-03-22,27015
American Samoa,ASM,2021-03-23,27263
American Samoa,ASM,2021-03-24,27837
American Samoa,ASM,2021-03-25,27864
American Samoa,ASM,2021-03-26,28503
American Samoa,ASM,2021-03-27,28527
American Samoa,ASM,2021-03-28,28527
American Samoa,ASM,2021-03-29,28527
American Samoa,ASM,2021-03-30,29079
American Samoa,ASM,2021-03-31,31167
American Samoa,ASM,2021-04-01,31167
American Samoa,ASM,2021-04-02,31761
American Samoa,ASM,2021-04-03,31761
American Samoa,ASM,2021-04-04,31775
American Samoa,ASM,2021-04-05,31775
American Samoa,ASM,2021-04-06,31775
American Samoa,ASM,2021-04-07,32856
American Samoa,ASM,2021-04-08,32904
American Samoa,ASM,2021-04-09,33545
American Samoa,ASM,2021-04-10,33545
American Samoa,ASM,2021-04-11,34165
American Samoa,ASM,2021-04-12,34165
American Samoa,ASM,2021-04-13,34165
American Samoa,ASM,2021-04-14,34786
American Samoa,ASM,2021-04-15,34786
American Samoa,ASM,2021-04-16,35972
American Samoa,ASM,2021-04-17,35972
American Samoa,ASM,2021-04-18,35972
American Samoa,ASM,2021-04-19,35972
American Samoa,ASM,2021-04-20,35972
American Samoa,ASM,2021-04-21,36093
American Samoa,ASM,2021-04-22,36093
American Samoa,ASM,2021-04-23,37231
American Samoa,ASM,2021-04-24,37231
American Samoa,ASM,2021-04-25,37590
Arizona,,2021-01-12,141355
Arizona,,2021-01-13,154745
Arizona,,2021-01-14,173665
Arizona,,2021-01-15,197086
Arizona,,2021-01-19,266276
Arizona,,2021-01-20,281887
Arizona,,2021-01-21,303899
Arizona,,2021-01-22,329349
Arizona,,2021-01-23,360958
Arizona,,2021-01-24,390623
Arizona,,2021-01-25,413662
Arizona,,2021-01-26,430892
Arizona,,2021-01-27,458258
Arizona,,2021-01-28,487149
Arizona,,2021-01-29,521097
Arizona,,2021-01-30,557369
Arizona,,2021-01-31,594104
Arizona,,2021-02-01,620608
Arizona,,2021-02-02,631662
Arizona,,2021-02-03,656040
Arizona,,2021-02-04,686116
Arizona,,2021-02-05,719458
Arizona,,2021-02-06,766788
Arizona,,2021-02-07,809230
Arizona,,2021-02-08,841018
Arizona,,2021-02-09,863807
Arizona,,2021-02-10,897757
Arizona,,2021-02-11,941575
Arizona,,2021-02-12,990296
Arizona,,2021-02-13,1041021
Arizona,,2021-02-14,1089155
Arizona,,2021-02-16,1154583
Arizona,,2021-02-17,1164900
Arizona,,2021-02-18,1202770
Arizona,,2021-02-19,1376405
Arizona,,2021-02-20,1425295
Arizona,,2021-02-21,1469676
Arizona,,2021-02-22,1506572
Arizona,,2021-02-23,1525794
Arizona,,2021-02-24,1555942
Arizona,,2021-02-25,1607544
Arizona,,2021-02-26,1671294
Arizona,,2021-02-27,1728239
Arizona,,2021-02-28,1792447
Arizona,,2021-03-01,1849259
Arizona,,2021-03-02,1889742
Arizona,,2021-03-03,1930999
Arizona,,2021-03-04,1979929
Arizona,,2021-03-05,2038623
Arizona,,2021-03-06,2043739
Arizona,,2021-03-07,2162602
Arizona,,2021-03-08,2215219
Arizona,,2021-03-09,2245854
Arizona,,2021-03-10,2293559
Arizona,,2021-03-11,2350374
Arizona,,2021-03-12,2418267
Arizona,,2021-03-13,2484603
Arizona,,2021-03-14,2557630
Arizona,,2021-03-15,2605621
Arizona,,2021-03-16,2655283
Arizona,,2021-03-17,2697523
Arizona,,2021-03-18,2755436
Arizona,,2021-03-19,2760907
Arizona,,2021-03-20,2825939
Arizona,,2021-03-21,2893024
Arizona,,2021-03-22,2942907
Arizona,,2021-03-23,2970577
Arizona,,2021-03-24,3010048
Arizona,,2021-03-25,3106598
Arizona,,2021-03-26,3169061
Arizona,,2021-03-27,3239538
Arizona,,2021-03-28,3308671
Arizona,,2021-03-29,3363062
Arizona,,2021-03-30,3399399
Arizona,,2021-03-31,3451567
Arizona,,2021-04-01,3512579
Arizona,,2021-04-02,3581448
Arizona,,2021-04-03,3653578
Arizona,,2021-04-04,3720230
Arizona,,2021-04-05,3772436
Arizona,,2021-04-06,3809075
Arizona,,2021-04-07,3855073
Arizona,,2021-04-08,3901177
Arizona,,2021-04-09,3975606
Arizona,,2021-04-10,4054007
Arizona,,2021-04-11,4125010
Arizona,,2021-04-12,4168939
Arizona,,2021-04-13,4203995
Arizona,,2021-04-14,4250790
Arizona,,2021-04-15,4306602
Arizona,,2021-04-16,4366496
Arizona,,2021-04-17,4440592
Arizona,,2021-04-18,4505745
Arizona,,2021-04-19,4550226
Arizona,,2021-04-20,4581441
Arizona,,2021-04-21,4631928
Arizona,,2021-04-22,4688598
Arizona,,2021-04-23,4750108
Arizona,,2021-04-24,4815132
Arizona,,2021-04-25,4872521
Arkansas,,2021-01-12,40879
Arkansas,,2021-01-13,94854
Arkansas,,2021-01-14,108316
Arkansas,,2021-01-15,118338
Arkansas,,2021-01-19,142337
Arkansas,,2021-01-20,173312
Arkansas,,2021-01-21,173312
Arkansas,,2021-01-22,201676
Arkansas,,2021-01-23,201676
Arkansas,,2021-01-24,214240
Arkansas,,2021-01-25,221095
Arkansas,,2021-01-26,236290
Arkansas,,2021-01-27,252824
Arkansas,,2021-01-28,252824
Arkansas,,2021-01-29,269993
Arkansas,,2021-01-30,288651
Arkansas,,2021-01-31,303793
Arkansas,,2021-02-01,311230
Arkansas,,2021-02-02,314470
Arkansas,,2021-02-03,322447
Arkansas,,2021-02-04,338227
Arkansas,,2021-02-05,351175
Arkansas,,2021-02-06,374674
Arkansas,,2021-02-07,393445
Arkansas,,2021-02-08,401664
Arkansas,,2021-02-09,404127
Arkansas,,2021-02-10,418054
Arkansas,,2021-02-11,430803
Arkansas,,2021-02-12,447146
Arkansas,,2021-02-13,457386
Arkansas,,2021-02-14,472536
Arkansas,,2021-02-16,483438
Arkansas,,2021-02-17,486949
Arkansas,,2021-02-18,490737
Arkansas,,2021-02-19,517271
Arkansas,,2021-02-20,520904
Arkansas,,2021-02-21,528467
Arkansas,,2021-02-22,535413
Arkansas,,2021-02-23,540192
Arkansas,,2021-02-24,554466
Arkansas,,2021-02-25,572553
Arkansas,,2021-02-26,597990
Arkansas,,2021-02-27,622665
Arkansas,,2021-02-28,649311
Arkansas,,2021-03-01,661572
Arkansas,,2021-03-02,670815
Arkansas,,2021-03-03,687433
Arkansas,,2021-03-04,704368
Arkansas,,2021-03-05,723756
Arkansas,,2021-03-06,744139
Arkansas,,2021-03-07,765260
Arkansas,,2021-03-08,773357
Arkansas,,2021-03-09,782750
Arkansas,,2021-03-10,799184
Arkansas,,2021-03-11,800091
Arkansas,,2021-03-12,836608
Arkansas,,2021-03-13,882630
Arkansas,,2021-03-14,882630
Arkansas,,2021-03-15,892588
Arkansas,,2021-03-16,897059
Arkansas,,2021-03-17,912660
Arkansas,,2021-03-18,929862
Arkansas,,2021-03-19,952919
Arkansas,,2021-03-20,974973
Arkansas,,2021-03-21,999488
Arkansas,,2021-03-22,1008575
Arkansas,,2021-03-23,1012415
Arkansas,,2021-03-24,1032499
Arkansas,,2021-03-25,1056307
Arkansas,,2021-03-26,1086176
Arkansas,,2021-03-27,1114449
Arkansas,,2021-03-28,1143893
Arkansas,,2021-03-29,1153739
Arkansas,,2021-03-30,1159108
Arkansas,,2021-03-31,1183295
Arkansas,,2021-04-01,1209965
Arkansas,,2021-04-02,1244076
Arkansas,,2021-04-03,1305535
Arkansas,,2021-04-04,1306811
Arkansas,,2021-04-05,1316063
Arkansas,,2021-04-06,1325141
Arkansas,,2021-04-07,1351223
Arkansas,,2021-04-08,1379591
Arkansas,,2021-04-09,1405741
Arkansas,,2021-04-10,1440169
Arkansas,,2021-04-11,1469291
Arkansas,,2021-04-12,1478774
Arkansas,,2021-04-13,1484206
Arkansas,,2021-04-14,1508295
Arkansas,,2021-04-15,1535135
Arkansas,,2021-04-16,1561736
Arkansas,,2021-04-17,1585770
Arkansas,,2021-04-18,1611803
Arkansas,,2021-04-19,1618371
Arkansas,,2021-04-20,1624969
Arkansas,,2021-04-21,1645403
Arkansas,,2021-04-22,1667028
Arkansas,,2021-04-23,1688238
Arkansas,,2021-04-24,1707412
Arkansas,,2021-04-25,1724751
Bureau of Prisons,,2021-01-12,14663
Bureau of Prisons,,2021-01-13,15694
Bureau of Prisons,,2021-01-14,16118
Bureau of Prisons,,2021-01-15,16685
Bureau of Prisons,,2021-01-19,17628
Bureau of Prisons,,2021-01-20,19076
Bureau of Prisons,,2021-01-21,20838
Bureau of Prisons,,2021-01-22,21315
Bureau of Prisons,,2021-01-23,23345
Bureau of Prisons,,2021-01-24,24082
Bureau of Prisons,,2021-01-25,24360
Bureau of Prisons,,2021-01-26,25513
Bureau of Prisons,,2021-01-27,27326
Bureau of Prisons,,2021-01-28,28514
Bureau of Prisons,,2021-01-29,29754
Bureau of Prisons,,2021-01-30,30945
Bureau of Prisons,,2021-01-31,31285
Bureau of Prisons,,2021-02-01,31285
Bureau of Prisons,,2021-02-02,32349
Bureau of Prisons,,2021-02-03,34255
Bureau of Prisons,,2021-02-04,36195
Bureau of Prisons,,2021-02-05,38164
Bureau of Prisons,,2021-02-06,39616
Bureau of Prisons,,2021-02-07,40333
Bureau of Prisons,,2021-02-08,40333
Bureau of Prisons,,2021-02-09,41040
Bureau of Prisons,,2021-02-10,42751
Bureau of Prisons,,2021-02-11,44177
Bureau of Prisons,,2021-02-12,45617
Bureau of Prisons,,2021-02-13,46926
Bureau of Prisons,,2021-02-14,47564
Bureau of Prisons,,2021-02-16,48090
Bureau of Prisons,,2021-02-17,48614
Bureau of Prisons,,2021-02-18,49050
Bureau of Prisons,,2021-02-19,49913
Bureau of Prisons,,2021-02-20,51072
Bureau of Prisons,,2021-02-21,52266
Bureau of Prisons,,2021-02-22,52347
Bureau of Prisons,,2021-02-23,52743
Bureau of Prisons,,2021-02-24,53728
Bureau of Prisons,,2021-02-25,55100
Bureau of Prisons,,2021-02-26,57396
Bureau of Prisons,,2021-02-27,59234
Bureau of Prisons,,2021-02-28,60283
Bureau of Prisons,,2021-03-01,60283
Bureau of Prisons,,2021-03-02,61002
Bureau of Prisons,,2021-03-03,62745
Bureau of Prisons,,2021-03-04,66375
Bureau of Prisons,,2021-03-05,70129
Bureau of Prisons,,2021-03-06,71759
Bureau of Prisons,,2021-03-07,72174
Bureau of Prisons,,2021-03-08,72174
Bureau of Prisons,,2021-03-09,72539
Bureau of Prisons,,2021-03-10,73254
Bureau of Prisons,,2021-03-11,76224
Bureau of Prisons,,2021-03-12,78795
Bureau of Prisons,,2021-03-13,80683
Bureau of Prisons,,2021-03-14,80683
Bureau of Prisons,,2021-03-15,80683
Bureau of Prisons,,2021-03-16,81035
Bureau of Prisons,,2021-03-17,81950
Bureau of Prisons,,2021-03-18,84200
Bureau of Prisons,,2021-03-19,86342
Bureau of Prisons,,2021-03-20,88006
Bureau of Prisons,,2021-03-21,88862
Bureau of Prisons,,2021-03-22,89052
Bureau of Prisons,,2021-03-23,89232
Bureau of Prisons,,2021-03-24,90341
Bureau of Prisons,,2021-03-25,95200
Bureau of Prisons,,2021-03-26,98916
Bureau of Prisons,,2021-03-27,101156
Bureau of Prisons,,2021-03-28,101784
Bureau of Prisons,,2021-03-29,101786
Bureau of Prisons,,2021-03-30,101891
Bureau of Prisons,,2021-03-31,102091
Bureau of Prisons,,2021-04-01,107497
Bureau of Prisons,,2021-04-02,110979
Bureau of Prisons,,2021-04-03,111766
Bureau of Prisons,,2021-04-04,112202
Bureau of Prisons,,2021-04-05,112202
Bureau of Prisons,,2021-04-06,112317
Bureau of Prisons,,2021-04-07,113400
Bureau of Prisons,,2021-04-08,119665
Bureau of Prisons,,2021-04-09,123092
Bureau of Prisons,,2021-04-10,125929
Bureau of Prisons,,2021-04-11,126905
Bureau of Prisons,,2021-04-12,126933
Bureau of Prisons,,2021-04-13,127070
Bureau of Prisons,,2021-04-14,128487
Bureau of Prisons,,2021-04-15,128630
Bureau of Prisons,,2021-04-16,131681
Bureau of Prisons,,2021-04-17,132981
Bureau of Prisons,,2021-04-18,133323
Bureau of Prisons,,2021-04-19,133323
Bureau of Prisons,,2021-04-20,133391
Bureau of Prisons,,2021-04-21,134268
Bureau of Prisons,,2021-04-22,137525
Bureau of Prisons,,2021-04-23,139857
Bureau of Prisons,,2021-04-24,141939
Bureau of Prisons,,2021-04-25,142526
California,,2021-01-12,816301
California,,2021-01-13,891489
California,,2021-01-14,975293
California,,2021-01-15,1072959
California,,2021-01-19,1460430
California,,2021-01-20,1532329
California,,2021-01-21,1633875
California,,2021-01-22,1803679
California,,2021-01-23,2008220
California,,2021-01-24,2199908
California,,2021-01-25,2330633
California,,2021-01-26,2446577
California,,2021-01-27,2579666
California,,2021-01-28,2746876
California,,2021-01-29,2910562
California,,2021-01-30,3095781
California,,2021-01-31,3285351
California,,2021-02-01,3453284
California,,2021-02-02,3543817
California,,2021-02-03,3671316
California,,2021-02-04,3723803
California,,2021-02-05,3920632
California,,2021-02-06,4137600
California,,2021-02-07,4485166
California,,2021-02-08,4682862
California,,2021-02-09,4784478
California,,2021-02-10,4957297
California,,2021-02-11,5134864
California,,2021-02-12,5341104
California,,2021-02-13,5562553
California,,2021-02-14,5820388
California,,2021-02-16,6210992
California,,2021-02-17,6323011
California,,2021-02-18,6496140
California,,2021-02-19,6964603
California,,2021-02-20,7201713
California,,2021-02-21,7453468
California,,2021-02-22,7604725
California,,2021-02-23,7728120
California,,2021-02-24,7876011
California,,2021-02-25,8064121
California,,2021-02-26,8310945
California,,2021-02-27,8566470
California,,2021-02-28,8821044
California,,2021-03-01,9106077
California,,2021-03-02,9497125
California,,2021-03-03,9731169
California,,2021-03-04,9860209
California,,2021-03-05,10071476
California,,2021-03-06,10415023
California,,2021-03-07,10634752
California,,2021-03-08,10805474
California,,2021-03-09,10925581
California,,2021-03-10,11062505
California,,2021-03-11,11220508
California,,2021-03-12,11428034
California,,2021-03-13,11881857
California,,2021-03-14,11883375
California,,2021-03-15,12306608
California,,2021-03-16,12686451
California,,2021-03-17,13161027
California,,2021-03-18,13563094
California,,2021-03-19,13882984
California,,2021-03-20,14276125
California,,2021-03-21,14708175
California,,2021-03-22,15050673
California,,2021-03-23,15349039
California,,2021-03-24,15691888
California,,2021-03-25,16062266
California,,2021-03-26,16527440
California,,2021-03-27,16944916
California,,2021-03-28,17335016
California,,2021-03-29,17703550
California,,2021-03-30,17922091
California,,2021-03-31,18223412
California,,2021-04-01,18604164
California,,2021-04-02,18985902
California,,2021-04-03,19449615
California,,2021-04-04,19962420
California,,2021-04-05,20309146
California,,2021-04-06,20485651
California,,2021-04-07,20865892
California,,2021-04-08,21243518
California,,2021-04-09,21725654
California,,2021-04-10,22281619
California,,2021-04-11,22754163
California,,2021-04-12,23031055
California,,2021-04-13,23227199
California,,2021-04-14,23721226
California,,2021-04-15,24242205
California,,2021-04-16,25047682
California,,2021-04-17,25569748
California,,2021-04-18,26092008
California,,2021-04-19,26435308
California,,2021-04-20,26689222
California,,2021-04-21,27013516
California,,2021-04-22,27384986
California,,2021-04-23,27727113
California,,2021-04-24,28302062
California,,2021-04-25,28798648
Colorado,,2021-01-12,224428
Colorado,,2021-01-13,239665
Colorado,,2021-01-14,254706
Colorado,,2021-01-15,272233
Colorado,,2021-01-19,330292
Colorado,,2021-01-20,340438
Colorado,,2021-01-21,353194
Colorado,,2021-01-22,377283
Colorado,,2021-01-23,377283
Colorado,,2021-01-24,434496
Colorado,,2021-01-25,447880
Colorado,,2021-01-26,457746
Colorado,,2021-01-27,474527
Colorado,,2021-01-28,495706
Colorado,,2021-01-29,521879
Colorado,,2021-01-30,545356
Colorado,,2021-01-31,569234
Colorado,,2021-02-01,589787
Colorado,,2021-02-02,601347
Colorado,,2021-02-03,617125
Colorado,,2021-02-04,638923
Colorado,,2021-02-05,661703
Colorado,,2021-02-06,694860
Colorado,,2021-02-07,729895
Colorado,,2021-02-08,751960
Colorado,,2021-02-09,757560
Colorado,,2021-02-10,787041
Colorado,,2021-02-11,815108
Colorado,,2021-02-12,844620
Colorado,,2021-02-13,885581
Colorado,,2021-02-14,926807
Colorado,,2021-02-16,1000597
Colorado,,2021-02-17,1024167
Colorado,,2021-02-18,1053041
Colorado,,2021-02-19,1132448
Colorado,,2021-02-20,1167895
Colorado,,2021-02-21,1202161
Colorado,,2021-02-22,1231699
Colorado,,2021-02-23,1233466
Colorado,,2021-02-24,1268302
Colorado,,2021-02-25,1294236
Colorado,,2021-02-26,1323183
Colorado,,2021-02-27,1324715
Colorado,,2021-02-28,1371577
Colorado,,2021-03-01,1412910
Colorado,,2021-03-02,1428854
Colorado,,2021-03-03,1462053
Colorado,,2021-03-04,1494910
Colorado,,2021-03-05,1528864
Colorado,,2021-03-06,1580162
Colorado,,2021-03-07,1626499
Colorado,,2021-03-08,1627458
Colorado,,2021-03-09,1650716
Colorado,,2021-03-10,1694476
Colorado,,2021-03-11,1764066
Colorado,,2021-03-12,1817050
Colorado,,2021-03-13,1878538
Colorado,,2021-03-14,1878639
Colorado,,2021-03-15,1933717
Colorado,,2021-03-16,1948333
Colorado,,2021-03-17,1987533
Colorado,,2021-03-18,2029213
Colorado,,2021-03-19,2080284
Colorado,,2021-03-20,2188145
Colorado,,2021-03-21,2250372
Colorado,,2021-03-22,2276660
Colorado,,2021-03-23,2310425
Colorado,,2021-03-24,2344091
Colorado,,2021-03-25,2388899
Colorado,,2021-03-26,2443350
Colorado,,2021-03-27,2500874
Colorado,,2021-03-28,2569087
Colorado,,2021-03-29,2602792
Colorado,,2021-03-30,2645306
Colorado,,2021-03-31,2691248
Colorado,,2021-04-01,2746030
Colorado,,2021-04-02,2803981
Colorado,,2021-04-03,2878136
Colorado,,2021-04-04,2954206
Colorado,,2021-04-05,2979697
Colorado,,2021-04-06,3017904
Colorado,,2021-04-07,3079255
Colorado,,2021-04-08,3129702
Colorado,,2021-04-09,3184749
Colorado,,2021-04-10,3266193
Colorado,,2021-04-11,3336248
Colorado,,2021-04-12,3407618
Colorado,,2021-04-13,3464019
Colorado,,2021-04-14,3527781
Colorado,,2021-04-15,3583563
Colorado,,2021-04-16,3646570
Colorado,,2021-04-17,3714665
Colorado,,2021-04-18,3790514
Colorado,,2021-04-19,3846376
Colorado,,2021-04-20,3890828
Colorado,,2021-04-21,3942162
Colorado,,2021-04-22,4003990
Colorado,,2021-04-23,4068389
Colorado,,2021-04-24,4072289
Colorado,,2021-04-25,4210710
Connecticut,,2021-01-12,151395
Connecticut,,2021-01-13,161875
Connecticut,,2021-01-14,171897
Connecticut,,2021-01-15,185866
Connecticut,,2021-01-19,229524
Connecticut,,2021-01-20,243140
Connecticut,,2021-01-21,264707
Connecticut,,2021-01-22,287440
